,symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,lastUpdateTime,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,meta
0,AMARAJABAT,,EQ,549,579.9,543,569.95,519.75,50.2,9.66,15679162,8940728547,31-Dec-99,714,438.05,20.17507003,-30.11071795,-35.56,14-Oct-21,https://static.nseindia.com/sparklines/365d/AMARAJABAT-EQ.jpg,16-Sep-22,-3.93,https://static.nseindia.com/sparklines/30d/AMARAJABAT-EQ.jpg,https://static.nseindia.com/sparklines/today/AMARAJABATEQN.jpg,"{'symbol': 'AMARAJABAT', 'companyName': 'Amara Raja Batteries Limited', 'industry': 'AUTO ANCILLARIES', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE885A01032'}"
1,ADANIENT,,EQ,3642,3849.8,3566.75,3825.9,3590.4,235.5,6.56,6112097,22812362996,31-Dec-99,3885,1464.45,1.521235521,-161.2516644,95.13,14-Oct-21,https://static.nseindia.com/sparklines/365d/ADANIENT-EQ.jpg,16-Sep-22,-13.22,https://static.nseindia.com/sparklines/30d/ADANIENT-EQ.jpg,https://static.nseindia.com/sparklines/today/ADANIENTEQN.jpg,"{'symbol': 'ADANIENT', 'companyName': 'Adani Enterprises Limited', 'industry': 'TRADING', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE423A01024'}"
2,VEDL,,EQ,303.5,324.6,303.5,322.6,302.9,19.7,6.5,52129584,16600144729,31-Dec-99,440.75,206,26.80657969,-56.60194175,-15.62,14-Oct-21,https://static.nseindia.com/sparklines/365d/VEDL-EQ.jpg,16-Sep-22,-3.68,https://static.nseindia.com/sparklines/30d/VEDL-EQ.jpg,https://static.nseindia.com/sparklines/today/VEDLEQN.jpg,"{'symbol': 'VEDL', 'companyName': 'Vedanta Limited', 'industry': 'MINING', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['O1', 'P1'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE205A04011'}"
3,EXIDEIND,,EQ,167.5,177.75,167.5,175.3,164.85,10.45,6.34,18321325,3201101904,31-Dec-99,185.45,130.25,5.473173362,-34.58733205,-16.83,14-Oct-21,https://static.nseindia.com/sparklines/365d/EXIDEIND-EQ.jpg,16-Sep-22,-7.59,https://static.nseindia.com/sparklines/30d/EXIDEIND-EQ.jpg,https://static.nseindia.com/sparklines/today/EXIDEINDEQN.jpg,"{'symbol': 'EXIDEIND', 'companyName': 'Exide Industries Limited', 'industry': 'AUTO ANCILLARIES', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE302A01020'}"
4,DALBHARAT,,EQ,1657,1750,1653.75,1742,1653.7,88.3,5.34,930606,1600204935,31-Dec-99,2199,1212.5,20.78217372,-43.67010309,-26.84,14-Oct-21,https://static.nseindia.com/sparklines/365d/DALBHARAT-EQ.jpg,16-Sep-22,-10.55,https://static.nseindia.com/sparklines/30d/DALBHARAT-EQ.jpg,https://static.nseindia.com/sparklines/today/DALBHARATEQN.jpg,"{'symbol': 'DALBHARAT', 'companyName': 'Dalmia Bharat Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE00R701025'}"
5,HINDALCO,,EQ,412.45,432,412,430.05,410.35,19.7,4.8,13317485,5639821723,11-Aug-22,636,308.95,32.38207547,-39.19728111,-24.76,14-Oct-21,https://static.nseindia.com/sparklines/365d/HINDALCO-EQ.jpg,16-Sep-22,-5.87,https://static.nseindia.com/sparklines/30d/HINDALCO-EQ.jpg,https://static.nseindia.com/sparklines/today/HINDALCOEQN.jpg,"{'symbol': 'HINDALCO', 'companyName': 'Hindalco Industries Limited', 'industry': 'ALUMINIUM', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['E1', 'E2', 'P1'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE038A04016'}"
6,BAJAJFINSV,,EQ,1722.9,1805,1721.05,1800.65,1723.5,77.15,4.48,6981242,12440224182,13-Sep-22,1862.1,1072.72,3.300037592,-67.85834141,-90.7,14-Oct-21,https://static.nseindia.com/sparklines/365d/BAJAJFINSV-EQ.jpg,16-Sep-22,-0.9,https://static.nseindia.com/sparklines/30d/BAJAJFINSV-EQ.jpg,https://static.nseindia.com/sparklines/today/BAJAJFINSVEQN.jpg,"{'symbol': 'BAJAJFINSV', 'companyName': 'Bajaj Finserv Limited', 'industry': 'FINANCE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE918I01026'}"
7,ABCAPITAL,,EQ,120.2,124.5,119,124.4,119.75,4.65,3.88,6611650,808869261,31-Dec-99,139.2,85.6,10.63218391,-45.3271028,2.6,14-Oct-21,https://static.nseindia.com/sparklines/365d/ABCAPITAL-EQ.jpg,16-Sep-22,-4.54,https://static.nseindia.com/sparklines/30d/ABCAPITAL-EQ.jpg,https://static.nseindia.com/sparklines/today/ABCAPITALEQN.jpg,"{'symbol': 'ABCAPITAL', 'companyName': 'Aditya Birla Capital Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE674K01013'}"
8,INTELLECT,,EQ,412,435.95,407.45,431.9,416.3,15.6,3.75,2500183,1068978243,31-Dec-99,986.65,407.45,56.22561192,-6.000736287,-25.84,14-Oct-21,https://static.nseindia.com/sparklines/365d/INTELLECT-EQ.jpg,16-Sep-22,-6.16,https://static.nseindia.com/sparklines/30d/INTELLECT-EQ.jpg,https://static.nseindia.com/sparklines/today/INTELLECTEQN.jpg,"{'symbol': 'INTELLECT', 'companyName': 'Intellect Design Arena Limited', 'industry': 'COMPUTERS - SOFTWARE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE306R01017'}"
9,SAIL,,EQ,81.5,84.4,81.45,84.35,81.3,3.05,3.75,33445593,2787690177,20-Sep-22,125,63.6,32.52,-32.62578616,-37,14-Oct-21,https://static.nseindia.com/sparklines/365d/SAIL-EQ.jpg,16-Sep-22,-2.98,https://static.nseindia.com/sparklines/30d/SAIL-EQ.jpg,https://static.nseindia.com/sparklines/today/SAILEQN.jpg,"{'symbol': 'SAIL', 'companyName': 'Steel Authority of India Limited', 'industry': 'STEEL AND STEEL PRODUCTS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE114A01011'}"
10,AMBUJACEM,,EQ,540.9,560.3,538.85,558.35,539.5,18.85,3.49,8028860,4432653317,31-Dec-99,585.7,274,4.669626088,-103.7773723,27.35,14-Oct-21,https://static.nseindia.com/sparklines/365d/AMBUJACEM-EQ.jpg,16-Sep-22,0.75,https://static.nseindia.com/sparklines/30d/AMBUJACEM-EQ.jpg,https://static.nseindia.com/sparklines/today/AMBUJACEMEQN.jpg,"{'symbol': 'AMBUJACEM', 'companyName': 'Ambuja Cements Limited', 'industry': 'CEMENT AND CEMENT PRODUCTS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE079A01024'}"
